Country Rank,Country/Territory,Country Code,Region,CPI 2015 Score,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
98,Gabon,GAB,#REF!,34,4,1.65,31,38,31,37,,36,,,,,,31,38,32,,
98,Niger,NER,#REF!,34,5,4.16,21,47,27,41,35,,36,47,,,,21,,32,,
102,Dominican Republic,DOM,#REF!,33,6,2.63,24,42,29,37,,29,32,,,,24,31,38,42,,
102,Ethiopia,ETH,#REF!,33,8,2.73,22,42,29,37,35,42,23,42,,,32,31,38,22,,
102,Kosovo,LWI,#REF!,33,3,2.19,29,36,29,37,35,,36,,,,,,,,,29
102,Moldova,MDA,#REF!,33,8,2.88,16,42,28,38,35,30,40,,,,16,31,38,42,,31
106,Argentina,ARG,#REF!,32,7,1.84,25,38,29,35,,28,36,,25,,37,31,38,32,,
106,Belarus,BLR,#REF!,32,6,4.37,21,52,25,39,,,28,,,,52,31,21,32,,26
106,Côte d´Ivoire,CIV,#REF!,32,8,2.65,22,46,28,36,35,46,28,32,,,26,31,38,22,,
106,Ecuador,ECU,#REF!,32,6,2.86,21,43,27,37,,43,32,,,,30,31,21,32,,
106,Togo,TGO,#REF!,32,5,3.04,23,42,27,37,23,,32,30,,,,31,,42,,
111,Honduras,HND,#REF!,31,7,4.12,17,45,24,38,35,45,36,,,,17,41,21,22,,
111,Malawi,MWI,#REF!,31,8,2.41,21,42,27,35,23,32,36,42,,,27,31,21,32,,
111,Mauritania,MRT,#REF!,31,5,5.07,12,42,23,39,35,12,32,35,,,,,,42,,
111,Mexico,MEX,#REF!,31,8,3.02,20,42,26,36,,33,28,,28,41,20,21,38,42,,
111,Mozambique,MOZ,#REF!,31,7,1.97,22,38,28,34,35,28,28,22,,,,31,38,32,,
111,Vietnam,VNM,#REF!,31,8,2.56,21,41,27,35,35,37,28,,,,36,41,21,22,31,
117,Pakistan,PAK,#REF!,30,7,3.12,19,42,25,35,23,34,19,,,,26,31,38,42,,
117,Tanzania,TZA,#REF!,30,8,3.49,11,42,24,36,35,31,32,42,,,21,31,38,11,,
119,Azerbaijan,AZE,#REF!,29,6,3.25,21,38,24,34,,37,23,,,,,21,38,32,,21
119,Guyana,GUY,#REF!,29,4,3.01,21,35,24,34,35,29,,,,,,21,,32,,
119,Russia,RUS,#REF!,29,8,2.52,21,38,25,33,,38,28,,33,,28,21,38,22,,21
119,Sierra Leone,SLE,#REF!,29,8,3.44,14,40,23,35,35,20,40,40,,,14,31,21,32,,
123,Gambia,GMB,#REF!,28,5,6.67,12,49,17,39,12,49,,15,,,,31,,32,,
123,Guatemala,GTM,#REF!,28,6,3.46,15,38,22,34,,38,32,,,,15,31,21,32,,
123,Kazakhstan,KAZ,#REF!,28,8,4.90,11,51,20,36,,51,19,,46,,28,21,21,11,,23
123,Kyrgyzstan,KGZ,#REF!,28,6,2.29,20,35,24,32,35,25,32,,,,20,,,32,,26
123,Lebanon,LBN,#REF!,28,6,3.22,19,38,23,33,,35,19,,,,24,21,38,32,,
123,Madagascar,MDG,#REF!,28,7,2.99,20,42,23,33,23,29,32,20,,,20,31,,42,,
